Model,,LES,
X,Y,X,Y
1,0.9994439295644115,1.004862236628849,0.9994439295644115
1.9967585089141002,0.46005560704355886,2.006482982171798,0.516218721037998
2.99837925445705,0.5045412418906394,2.998379254457051,0.5484708063021316
3.99513776337115,0.5167747914735866,4.004862236628849,0.540129749768304
4.9967585089141,0.5178869323447637,4.996758508914101,0.5440222428174237
6.003241491085899,0.5162187210379982,6.003241491085899,0.5473586654309547
6.995137763371151,0.5134383688600556,7,0.5417979610750694
8.001620745542949,0.5106580166821131,7.996758508914101,0.5429101019462466
8.9935170178282,0.5062094531974051,8.99837925445705,0.5468025949953661
9.99513776337115,0.501760889712697,10,0.5395736793327156
